"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","65854","DANCE 260 (3, 2)","Modern Dance II","M, W","3:10 PM - 4:25 PM","Love, Lori","RA 101A","15","30","In-Person",
"01","65860","DANCE 273 (3, 3)","Choreography II","M, W","3:10 PM - 4:25 PM","Weeks, Edisa","RA 101B","10","25","In-Person",
"01","65867","DANCE 290 (1, 1)","Theatre Practicum","&nbsp;"," - ","Greenberg, Jeffrey","GT 157","12","20","In-Person",
"01","65876","DANCE 350 (3, 3)","Time &amp; Dance Image In U.S. 1","W","9:10 AM - 12:00 PM","Winberg, Richard","RA 219","21","25","In-Person",
"04","66097","DANCE 3803 (3, 3)","Vt:Dance Production","&nbsp;"," - ","Weeks, Edisa","RA 101B","7","25","In-Person",
"01","66090","DANCE 3803 (3, 3)","Vt:Dance Production","&nbsp;"," - ","Critchell, Yinmei","RA 101B","5","25","In-Person",
"02","66092","DANCE 3803 (3, 3)","Vt:Dance Production","&nbsp;"," - ","Davis, Marshall","RA 101B","8","25","In-Person",
"03","66096","DANCE 3803 (3, 3)","Vt:Dance Production","&nbsp;"," - ","Love, Lori","RA 101A","7","25","In-Person",
"01","65917","DANCE 3952 (2, 2)","Indep Dance Study","&nbsp;"," - ","Critchell, Yinmei","RA 110","0","5","In-Person",
"01","66099","DANCE 3953 (3, 3)","Indep Dance Study","&nbsp;"," - ","Critchell, Yinmei","RA 110","0","5","In-Person",
"01","64830","DRAM 001 (3, 3)","Intro Dram And Theat","M","9:10 AM - 12:00 PM","Rowe, Stephen","RA 205","42","40","In-Person",
"11","64965","DRAM 001 (3, 3)","Intro Dram And Theat","SU","1:00 PM - 3:40 PM","Comfort, Gardiner","PH 157","27","40","Web-Enhanced",
"06","64917","DRAM 001 (3, 3)","Intro Dram And Theat","W","9:10 AM - 12:00 PM","Reiter, Brandt","RA 205","38","40","In-Person",
"07","64929","DRAM 001 (3, 3)","Intro Dram And Theat","W","1:40 PM - 4:30 PM","Reiter, Brandt","RA 219","40","40","In-Person",
"08","64937","DRAM 001 (3, 3)","Intro Dram And Theat","TH","9:10 AM - 12:00 PM","Reiter, Brandt","RA 205","38","40","In-Person",
"09","64944","DRAM 001 (3, 3)","Intro Dram And Theat","TH","1:40 PM - 4:30 PM","Comfort, Gardiner","RA 205","40","40","In-Person",
"10","64959","DRAM 001 (3, 3)","Intro Dram And Theat","S","1:00 PM - 3:40 PM","Carreno, Mariana","PH 157","29","40","Web-Enhanced",
"02","64847","DRAM 001 (3, 3)","Intro Dram And Theat","T","9:10 AM - 12:00 PM","Boodaghian, Arthur","CD 134","41","42","In-Person",
"03","64875","DRAM 001 (3, 3)","Intro Dram And Theat","T","9:10 AM - 12:00 PM","Boodaghian, Arthur","CD 134","43","42","In-Person",
"04","64883","DRAM 001 (3, 3)","Intro Dram And Theat","T","1:40 PM - 4:30 PM","Profeta, Katherine","RA 219","25","25","Web-Enhanced",
"05","65051","DRAM 100 (3, 3)","Intro To Acting","W","9:10 AM - 12:00 PM","Nelson, Rebecca","RA 11","35","34","In-Person",
"04","65049","DRAM 100 (3, 3)","Intro To Acting","T","1:40 PM - 4:30 PM","Nelson, Rebecca","RA 11","34","34","In-Person",
"03","65047","DRAM 100 (3, 3)","Intro To Acting","M","5:30 PM - 8:20 PM","Schwab, Kevin","RA 219","35","34","Web-Enhanced",
"02","65044","DRAM 100 (3, 3)","Intro To Acting","M","1:40 PM - 4:30 PM","Dolman, Christopher","RA 11","34","34","Web-Enhanced",
"01","65040","DRAM 100 (3, 3)","Intro To Acting","M","9:10 AM - 12:00 PM","Dolman, Christopher","RA 11","34","34","Web-Enhanced",
"06","65053","DRAM 100 (3, 3)","Intro To Acting","W","4:30 PM - 7:20 PM","Schwab, Kevin","RA 219","21","24","In-Person",
"12","65179","DRAM 100 (3, 3)","Intro To Acting","F","5:30 PM - 8:20 PM","Cox-Evans, Catherine","RA 219","34","34","In-Person",
"11","65166","DRAM 100 (3, 3)","Intro To Acting","F","1:40 PM - 4:30 PM","Cox-Evans, Catherine","RA 219","34","34","In-Person",
"10","65164","DRAM 100 (3, 3)","Intro To Acting","F","9:10 AM - 12:00 PM","Cox-Evans, Catherine","RA 219","35","34","In-Person",
"09","65162","DRAM 100 (3, 3)","Intro To Acting","TH","5:30 PM - 8:20 PM","Schwab, Kevin","RA 219","34","34","In-Person",
"08","65108","DRAM 100 (3, 3)","Intro To Acting","TH","1:40 PM - 4:30 PM","Boyd, Julie","RA 11","21","20","In-Person",
"07","65064","DRAM 100 (3, 3)","Intro To Acting","TH","9:10 AM - 12:00 PM","Nelson, Rebecca","RA 11","34","34","In-Person",
"01","65186","DRAM 101 (3, 3)","Intro Play &amp; Perform","M","1:40 PM - 4:30 PM","Profeta, Katherine","RA 205","26","24","Web-Enhanced",
"01","65192","DRAM 111 (3, 3)","Intro Theatre Design","M","9:10 AM - 12:00 PM","Abrego Jr., Raul","RA 219","25","25","In-Person",
"01","65197","DRAM 115 (3, 3)","Intro Tech Theatre","F","9:10 AM - 12:00 PM","Greenberg, Jeffrey","GT 157","24","30","Web-Enhanced",
