"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"20","40530","MATH 122 (4, 4)","Precalculus","M, W","10:05 AM - 11:55 AM","Clarke, Anisha","RZ 147","27","20","In-Person",
"21","40534","MATH 122 (4, 4)","Precalculus","M, W","1:40 PM - 4:00 PM","Broges, Adele","KY 424","25","20","In-Person",
"04","39852","MATH 122 (4, 4)","Precalculus","T, TH","10:05 AM - 11:55 AM","Kwon, Alice","KY 434","29","25","In-Person",
"05","39856","MATH 122 (4, 4)","Precalculus","M, W","8:00 AM - 9:50 AM","Presby, Leonard","KY 434","27","25","In-Person",
"06","39859","MATH 122 (4, 4)","Precalculus","M, W","10:05 AM - 11:55 AM","Presby, Leonard","KY 434","27","25","In-Person",
"07","39862","MATH 122 (4, 4)","Precalculus","M, W","6:30 PM - 8:20 PM","Gregorian, Christina","KY 420","26","25","In-Person",
"08","39863","MATH 122 (4, 4)","Precalculus","T, TH","12:10 PM - 2:00 PM","Didamo, Christopher","KY 277","28","25","In-Person",
"09","39865","MATH 122 (4, 4)","Precalculus","T, TH","2:15 PM - 4:05 PM","Didamo, Christopher","KY 277","26","25","In-Person",
"10","39868","MATH 122 (4, 4)","Precalculus","M, W","8:30 PM - 10:20 PM","Elescano, Cesar","KY 283","18","25","In-Person",
"11","39871","MATH 122 (4, 4)","Precalculus","T, TH","5:00 PM - 6:50 PM","Toledo, David","KY 059","25","25","In-Person",
"12","39873","MATH 122 (4, 4)","Precalculus","T, TH","6:55 PM - 8:45 PM","Toledo, David","KY 059","23","25","In-Person",
"13","39875","MATH 122 (4, 4)","Precalculus","M, W","5:00 PM - 6:50 PM","Gherghi, Lucian","KY 422","31","25","In-Person",
"14","39876","MATH 122 (4, 4)","Precalculus","T, TH","8:30 PM - 10:20 PM","Fekri, Abdellah","KY 242","24","25","In-Person",
"15","39879","MATH 122 (4, 4)","Precalculus","M, W","10:05 AM - 11:55 AM","Weintraub, Samuel","KY 422","25","25","In-Person",
"16","39883","MATH 122 (4, 4)","Precalculus","M, W","1:40 PM - 3:30 PM","Weintraub, Samuel","KY 422","24","25","In-Person",
"17","39886","MATH 122 (4, 4)","Precalculus","M, W","4:40 PM - 6:30 PM","Cai, Anhong","KY 326","19","25","In-Person",
"18","39890","MATH 122 (4, 4)","Precalculus","SU","8:20 AM - 12:00 PM","Gillman, Paula","KY 242","28","25","In-Person",
"16","40538","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","1:40 PM - 3:30 PM","Clarke, Anisha","RZ 147","21","20","In-Person",
"01","39895","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","10:45 AM - 12:00 PM","Spitz, Henya","KY 320","24","25","In-Person",
"10","39916","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","12:15 PM - 1:30 PM","Tousi-Hakimian, Afsaneh","KY 414","27","25","In-Person",
"09","39913","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","9:15 AM - 10:30 AM","Bernstein, Melvin","KY 273","26","25","In-Person",
"08","39912","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","7:45 AM - 9:00 AM","Bernstein, Melvin","KY 273","18","25","In-Person",
"07","39910","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","8:00 PM - 9:15 PM","Uddin, Jasim","KY 277","26","25","In-Person",
"05","39906","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","5:00 PM - 6:15 PM","Sugarman, Josiah","KY 320","22","25","In-Person",
"04","39902","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","8:00 PM - 9:15 PM","Duravcevic, Marija","KY 326","29","29","In-Person",
"03","39899","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","6:30 PM - 7:45 PM","Duravcevic, Marija","KY 326","30","25","In-Person",
"02","39898","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","3:10 PM - 4:25 PM","Gaugler, Todd","KY 414","12","12","In-Person",
"12","39925","MATH 131 (3, 3)","Calc Applc Soc Sci I","T, TH","1:40 PM - 2:55 PM","Shapiro, Maxwell","KY 273","27","25","In-Person",
"13","39929","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","10:45 AM - 12:00 PM","Mavro, Barbara","KY 273","26","25","In-Person",
"14","39932","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","1:40 PM - 2:55 PM","Mavro, Barbara","KY 414","28","25","In-Person",
"15","39936","MATH 131 (3, 3)","Calc Applc Soc Sci I","S","1:00 PM - 3:45 PM","Lin, Xiaoting","KY 242","25","25","In-Person",
"11","39919","MATH 131 (3, 3)","Calc Applc Soc Sci I","M, W","7:45 AM - 9:00 AM","Ben-Har, Shlomo","KY 422","15","25","In-Person",
"10","39964","MATH 141 (3, 3)","Calc/Differentiation","M, W","3:10 PM - 4:25 PM","Pomerantz, Steve","KY 320","31","25","In-Person",
"12","40548","MATH 141 (3, 3)","Calc/Differentiation","M, W","10:05 AM - 11:55 AM","Broges, Adele","KY 424","19","20","In-Person",
"08","39959","MATH 141 (3, 3)","Calc/Differentiation","M, W, TH","1:40 PM - 2:30 PM","Weiss, Norman","KS 120","24","25","In-Person",
"07","39958","MATH 141 (3, 3)","Calc/Differentiation","M, W","6:30 PM - 7:45 PM","Koroveshi, Blendi","KY 273","26","25","In-Person",
"06","39953","MATH 141 (3, 3)","Calc/Differentiation","M, W","5:00 PM - 6:15 PM","Koroveshi, Blendi","KY 273","27","25","In-Person",
"05","39950","MATH 141 (3, 3)","Calc/Differentiation","M, W","1:40 PM - 2:55 PM","Lee, Dan","KY 059","29","25","In-Person",
"04","39948","MATH 141 (3, 3)","Calc/Differentiation","T, TH","12:15 PM - 1:30 PM","Spitz, Henya","KY 320","32","25","In-Person",
"03","39945","MATH 141 (3, 3)","Calc/Differentiation","T, TH","9:15 AM - 10:30 AM","Spitz, Henya","KY 320","30","25","In-Person",
"02","39942","MATH 141 (3, 3)","Calc/Differentiation","T, TH","10:45 AM - 12:00 PM","Erlbaum, Sharon","KY 283","30","25","In-Person",
"01","39940","MATH 141 (3, 3)","Calc/Differentiation","M, W","10:45 AM - 12:00 PM","Erlbaum, Sharon","KY 277","29","25","In-Person",
"09","39961","MATH 141 (3, 3)","Calc/Differentiation","M, W, TH","2:45 PM - 3:35 PM","Weiss, Norman","KS 120","15","25","In-Person",
"11","40544","MATH 141 (3, 3)","Calc/Differentiation","M, W","8:00 AM - 9:50 AM","Broges, Adele","KY 424","20","20","In-Person",
"QI1","55999","MATH 142 (3, 3)","Calculus/Integration","M, W","7:45 AM - 9:00 AM","London, Michael","QH 007","30","27","In-Person",
"QI2","56000","MATH 142 (3, 3)","Calculus/Integration","T, TH","10:45 AM - 12:00 PM","London, Michael","QH 007","7","7","In-Person",
"05","54135","MATH 142 (3, 3)","Calculus/Integration","M, W","9:15 AM - 10:30 AM","Pastore, Joseph","KY 277","28","25","In-Person",
"02","40069","MATH 142 (3, 3)","Calculus/Integration","T, TH","3:10 PM - 4:25 PM","Mitra, Sudeb","KY 320","29","25","In-Person",
"04","40071","MATH 142 (3, 3)","Calculus/Integration","T, TH","8:00 PM - 9:15 PM","Richman, Jack","KY 414","26","25","In-Person",
"03","40070","MATH 142 (3, 3)","Calculus/Integration","T, TH","12:15 PM - 1:30 PM","Sultan, Alan","KY 242","29","25","In-Person",
"01","40068","MATH 142 (3, 3)","Calculus/Integration","T, TH","7:45 AM - 9:00 AM","Pandazis, Michael","KY 277","29","25","In-Person",
"04","40075","MATH 143 (3, 3)","Calc/ Infinite Serie","T, TH","8:00 PM - 9:15 PM","Borenstein, Howard","KY 320","20","25","In-Person",
"03","40074","MATH 143 (3, 3)","Calc/ Infinite Serie","M, W","9:15 AM - 10:30 AM","Fischthal, Arnold","KY 414","13","25","In-Person",
"02","40073","MATH 143 (3, 3)","Calc/ Infinite Serie","T, TH","1:40 PM - 2:55 PM","Terilla, John","KY 414","24","25","In-Person",
"01","40072","MATH 143 (3, 3)","Calc/ Infinite Serie","M, W","3:10 PM - 4:25 PM","Klosin, Krzysztof","KY 277","29","25","In-Person",
"QI1","55997","MATH 143 (3, 3)","Calc/ Infinite Serie","M, W","9:15 AM - 10:30 AM","London, Michael","QH 007","9","7","In-Person",
"05","40080","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","M, W","5:00 PM - 6:50 PM","Elescano, Cesar","KY 065","27","25","In-Person",
"04","40079","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","T, TH","2:15 PM - 4:05 PM","Spitz, Henya","KY 420","31","25","In-Person",
"03","40078","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","T, TH","8:00 AM - 9:50 AM","Erlbaum, Sharon","KY 334","29","25","In-Person",
"02","40077","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","M, W","8:00 AM - 9:50 AM","Erlbaum, Sharon","KY 334","29","25","In-Person",
"01","40076","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","M, W","1:40 PM - 3:30 PM","Maller, Michael","KY 420","28","25","In-Person",
"06","40081","MATH 151 (4, 4)","Calc/Diff &amp; Integtn","M, W","6:30 PM - 8:20 PM","Jin, Zhanguo","KY 334","23","25","In-Person",
"03","40084","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","T, TH","12:10 PM - 2:00 PM","Zakeri, Saeed","KY 434","28","25","In-Person",
"05","40086","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","M, W","1:40 PM - 3:30 PM","Don, Eugene","KY 283","22","25","In-Person",
"06","40087","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","T, TH","10:05 AM - 11:55 AM","Gorelick, Michael","KY 065","21","25","In-Person",
